Month,Judet Destinatar OPS,Categorie Cerc Livrare,Localitate Destinatar,Tip Trimitere,Colet eligibil locker,Nr Total AWB
01,Dambovita,Cerc 1,Alunisu,Negre,Da,1
01,Olt,Cerc 1,Alunisu,Negre,Da,1
01,Bistrita-Nasaud,Cerc 3,Alunisul,Negre,Da,3
01,Valcea,Cerc 3,Alunu,Negre,Da,10
01,Ialomita,Cerc 1,Amara,Negre,Da,110
01,Buzau,Cerc 3,Amara,Negre,Da,5
01,Ialomita,Cerc 1,Amara Noua,Negre,Da,2
01,Dolj,Cerc 3,Amarasti,Negre,Da,3
01,Valcea,Cerc 3,Amarasti,Negre,Da,3
01,Dolj,Cerc 1,Amarastii de Jos,Negre,Da,35
01,Dolj,Cerc 1,Amarastii de Sus,Negre,Da,3
01,Buzau,Cerc 3,Amaru,Negre,Da,2
01,Satu Mare,Cerc 1,Amati,Negre,Da,5
01,Satu Mare,Cerc 1,Ambud,Negre,Da,4
01,Sibiu,Cerc 1,Amnas,Negre,Da,1
01,Alba,Cerc 1,Ampoita,Negre,Da,2
01,Constanta,Cerc 3,Amzacea,Negre,Da,13
01,Ialomita,Cerc 1,Andrasesti,Negre,Da,10
01,Gorj,Cerc 3,Andreesti,Negre,Da,3
01,Arad,Cerc 1,Andrei Saguna,Negre,Da,8
01,Vrancea,Cerc 1,Andreiasu de Jos,Negre,Da,3
01,Vrancea,Cerc 1,Andreiasu de Sus,Negre,Da,2
01,Mures,Cerc 1,Andreneasa,Negre,Da,1
01,Satu Mare,Cerc 3,Andrid,Negre,Da,5
01,Iasi,Cerc 3,Andrieseni,Negre,Da,13
01,Vrancea,Cerc 3,Anghelesti,Negre,Da,6
01,Covasna,Cerc 1,Anghelus,Negre,Da,1
01,Arges,Cerc 3,Anghinesti,Negre,Da,2
01,Bistrita-Nasaud,Cerc 3,Anies,Negre,Da,6
01,Caras-Severin,Cerc 3,Anina,Negre,Da,76
01,Gorj,Cerc 1,Aninisu din Deal,Negre,Da,2
01,Gorj,Cerc 1,Aninisu din Vale,Negre,Da,3
01,Dambovita,Cerc 1,Aninoasa,Negre,Da,45
01,Hunedoara,Cerc 1,Aninoasa,Negre,Da,26
01,Gorj,Cerc 3,Aninoasa,Negre,Da,12
01,Arges,Cerc 1,Aninoasa,Negre,Da,11
01,Dambovita,Cerc 1,Aninosani,Negre,Da,1
01,Komárom-Esztergom,Resedinta,Annavölgy,Negre,Da,1
01,Suceava,Cerc 3,Antoceni,Negre,Da,1
01,Bacau,Cerc 1,Antohesti,Negre,Da,1
01,Teleorman,Cerc 1,Antonesti,Negre,Da,1
01,Satu Mare,Cerc 3,Apa,Negre,Da,9
01,Bacau,Cerc 3,Apa Asau,Negre,Da,5
01,Gorj,Cerc 3,Apa Neagra,Negre,Da,7
01,Cluj,Cerc 1,Apahida,Negre,Da,660
01,Mures,Cerc 1,Apalina,Negre,Da,2
