Judet,Localitate,Populatie 
BACAU,UNGURENI,3532
BACAU,URECHE?TI,3359
BACAU,VALEA SEACA,3727
BACAU,VULTURENI,1552
BACAU,ZEME?,4368
,BIHOR,551297
BIHOR,MUNICIPIUL ORADEA,183105
BIHOR,MUNICIPIUL BEIU?,9745
BIHOR,MUNICIPIUL MARGHITA,13573
BIHOR,MUNICIPIUL SALONTA,15792
BIHOR,ORA? ALE?D,9662
BIHOR,ORA? NUCET,1987
BIHOR,ORA? SACUENI,10720
BIHOR,ORA? ?TEI,5398
BIHOR,ORA? VALEA LUI MIHAI,8969
BIHOR,ORA? VA?CAU,2025
BIHOR,ABRAM,2728
BIHOR,ABRAMU?,3080
BIHOR,A?TILEU,3134
BIHOR,AU?EU,2702
BIHOR,AVRAM IANCU,3043
BIHOR,BALC,2924
BIHOR,BATAR,4922
BIHOR,BIHARIA,4393
BIHOR,BOIANU MARE,1028
BIHOR,BOROD,3742
BIHOR,BOR?,4267
BIHOR,BRATCA,4554
BIHOR,BRUSTURI,3037
BIHOR,BUDUREASA,2553
BIHOR,BUDUSLAU,1799
BIHOR,BULZ,1903
BIHOR,BUNTE?TI,4090
BIHOR,CABE?TI,1756
BIHOR,CÂMPANI,2111
BIHOR,CAPÂLNA,1282
BIHOR,CARPINET,1607
BIHOR,CEFA,2200
BIHOR,CEICA,3422
BIHOR,CETARIU,2035
BIHOR,CHERECHIU,2248
BIHOR,CHI?LAZ,3057
BIHOR,CIUMEGHIU,4260
BIHOR,COCIUBA MARE,2724
BIHOR,COPACEL,2002
BIHOR,CRI?TIORU DE JOS,1154
BIHOR,CURA?ELE,2319
BIHOR,CURTUI?ENI,3657
BIHOR,DERNA,1978
BIHOR,DIOSIG,6546
BIHOR,DOBRE?TI,5307
BIHOR,DRAGANE?TI,2590
BIHOR,DRAGE?TI,2858
BIHOR,FINI?,3245
BIHOR,GEPIU,2216
BIHOR,GIRI?U DE CRI?,3772
BIHOR,HIDI?ELU DE SUS,3259
BIHOR,HOLOD,3221
BIHOR,HUSASAU DE TINCA,2429
BIHOR,INEU,4759
BIHOR,LAZARENI,3510
BIHOR,LAZURI DE BEIU?,1487
BIHOR,LUGA?U DE JOS,3879
BIHOR,LUNCA,2429
BIHOR,MADARAS,3014
BIHOR,MAGE?TI,2504
BIHOR,NOJORID,6765
BIHOR,OLCEA,2583
BIHOR,O?ORHEI,8536
BIHOR,PALEU,3765
BIHOR,PIETROASA,3014
BIHOR,POCOLA,1395
BIHOR,POMEZEU,2389
BIHOR,POPE?TI,6427
BIHOR,RABAGANI,1997
BIHOR,REMETEA,2715
BIHOR,RIENI,2549
BIHOR,RO?IA,2285
BIHOR,RO?IORI,2653
BIHOR,SACADAT,1784
BIHOR,SALACEA,2941
BIHOR,SALARD,4305
BIHOR,SÂMBATA,1267
BIHOR,SÂNIOB,2237
BIHOR,SÂNMARTIN,12448
BIHOR,SÂNNICOLAU ROMÂN,2650
BIHOR,SÂNTANDREI,9025
BIHOR,SÂRBI,2345
BIHOR,?IMIAN,3540
BIHOR,?INTEU,996
BIHOR,?OIMI,2321
BIHOR,SPINU?,1166
BIHOR,?UNCUIU?,2963
BIHOR,SUPLACU DE BARCAU,3813
BIHOR,TAMA?EU,1990
BIHOR,TARCAIA,1799
BIHOR,TARCEA,2510
BIHOR,TAUTEU,4206
BIHOR,?E?CHEA,3376
BIHOR,TILEAGD,5998
BIHOR,TINCA,7429
BIHOR,TOBOLIU,2050
BIHOR,TULCA,2504
BIHOR,UILEACU DE BEIU?,1793
BIHOR,VADU CRI?ULUI,3784
BIHOR,VÂRCIOROG,2003
BIHOR,VII?OARA,1269
,BISTRITA-NASAUD,295988
BISTRITA-NASAUD,MUNICIPIUL BISTRI?A,78877
BISTRITA-NASAUD,ORA? BECLEAN,11260
BISTRITA-NASAUD,ORA? NASAUD,10215
BISTRITA-NASAUD,ORA? SÂNGEORZ-BAI,10931
BISTRITA-NASAUD,BISTRI?A BÂRGAULUI,4193
BISTRITA-NASAUD,BRANI?TEA,2780
BISTRITA-NASAUD,BUDACU DE JOS,3289
BISTRITA-NASAUD,BUDE?TI,1780
BISTRITA-NASAUD,CAIANU MIC,4112
BISTRITA-NASAUD,CETATE,2617
BISTRITA-NASAUD,CHIOCHI?,2629
BISTRITA-NASAUD,CHIUZA,2067
BISTRITA-NASAUD,CICEU-GIURGE?TI,1335
BISTRITA-NASAUD,CICEU-MIHAIE?TI,1175
BISTRITA-NASAUD,CO?BUC,1738
BISTRITA-NASAUD,DUMITRA,5264
BISTRITA-NASAUD,DUMITRI?A,3145
BISTRITA-NASAUD,FELDRU,7378
BISTRITA-NASAUD,GALA?II BISTRI?EI,2257
BISTRITA-NASAUD,ILVA MARE,2338
BISTRITA-NASAUD,ILVA MICA,3164
BISTRITA-NASAUD,JOSENII BÂRGAULUI,5079
BISTRITA-NASAUD,LECHIN?A,5469
BISTRITA-NASAUD,LE?U,2626
BISTRITA-NASAUD,LIVEZILE,4952
BISTRITA-NASAUD,LUNCA ILVEI,3152
BISTRITA-NASAUD,MAGURA ILVEI,1957
BISTRITA-NASAUD,MAIERU,7579
BISTRITA-NASAUD,MARI?ELU,2246
BISTRITA-NASAUD,MATEI,2332
BISTRITA-NASAUD,MICE?TII DE CÂMPIE,915
BISTRITA-NASAUD,MILA?,1190
BISTRITA-NASAUD,MONOR,1231
BISTRITA-NASAUD,NEGRILE?TI,2071
BISTRITA-NASAUD,NIMIGEA,5434
BISTRITA-NASAUD,NU?ENI,2814
BISTRITA-NASAUD,PARVA,2476
BISTRITA-NASAUD,PETRU RARE?,3399
BISTRITA-NASAUD,POIANA ILVEI,1353
BISTRITA-NASAUD,PRUNDU BÂRGAULUI,5924
BISTRITA-NASAUD,REBRA,2785
BISTRITA-NASAUD,REBRI?OARA,4209
BISTRITA-NASAUD,RODNA,6003
BISTRITA-NASAUD,ROMULI,1714
BISTRITA-NASAUD,RUNCU SALVEI,1229
BISTRITA-NASAUD,SALVA,2491
BISTRITA-NASAUD,SÂNMIHAIU DE CÂMPIE,1167
BISTRITA-NASAUD,?AN?,3247
BISTRITA-NASAUD,?IEU,2932
BISTRITA-NASAUD,?IEU-MAGHERU?,4540
BISTRITA-NASAUD,?IEU-ODORHEI,2219
BISTRITA-NASAUD,?IEU?,2417
BISTRITA-NASAUD,SILIVA?U DE CÂMPIE,841
BISTRITA-NASAUD,?INTEREAG,3737
BISTRITA-NASAUD,SPERMEZEU,3445
BISTRITA-NASAUD,TÂRLI?UA,2892
BISTRITA-NASAUD,TEACA,4991
BISTRITA-NASAUD,TELCIU,5498
BISTRITA-NASAUD,TIHA BÂRGAULUI,6443
BISTRITA-NASAUD,URIU,3414
BISTRITA-NASAUD,URMENI?,1677
BISTRITA-NASAUD,ZAGRA,3354
,BOTOSANI,392821
BOTOSANI,MUNICIPIUL BOTO?ANI,90010
BOTOSANI,MUNICIPIUL DOROHOI,22893
BOTOSANI,ORA? BUCECEA,4171
BOTOSANI,ORA? DARABANI,11948
BOTOSANI,ORA? FLAMÂNZI,10561
BOTOSANI,ORA? SAVENI,6447
